"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.0000000000,0.0000000000,0.6164726186,0.1955525639,0.0000000000,0.0000000000,0.0000000000,0.2797813101,0.4321136315,0.1586237642,0.0000000000,0.7580565559,0.5497989546,0.2972690746,0.0711014698,0.7485424120,0.1083825246,0.0000254585,0.5010183775,0.0207098973,0.5691540413,0.6024665687,0.0000000000,0.0000000000,1.0000000000,0.6764369227,0.4000000000,0.6500000000,7.0000000000,3.0000000000,8.0000000000,0.1600000000,2.0000000000,0.0000000000,9.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6151893874,0.1088778540,0.0428514832,0.0005526639,0.0003006403,0.2820451829,0.4318430330,0.0908381434,0.0006433686,0.7826613284,0.4636723868,0.2172618774,0.2133908974,0.7476852581,0.1390626724,0.0000000000,0.5132383249,0.0360301183,0.5686193589,0.6018450688,0.0000000000,0.0000000000,1.0000000000,0.6804275395,0.4000000000,0.6500000000,8.0000000000,3.0000000000,8.0000000000,0.1600000000,2.0000000000,0.0000000000,9.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6140572979,0.1249723595,0.0750712300,0.0006259757,0.0010315010,0.2921976606,0.4314041935,1.0000000000,0.0008461169,0.6163346384,0.3992987028,0.3750114462,0.2036046292,0.7473580480,0.1700453371,0.0000302452,0.5173116407,0.0311507171,0.5675674181,0.6006271700,0.0000000000,0.0000000000,1.0000000000,0.7070585779,0.0000000000,0.0500000000,0.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,9.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6135663712,0.1824281433,0.2604954619,0.0028364668,0.0030557312,0.3006428242,0.4304122810,0.0040808490,0.0025400503,1.0000000000,0.1002319619,0.4066403115,0.1187158329,0.7482194801,0.0000000000,0.0018874591,0.4052953105,0.0318347354,0.5659570593,0.5987857798,0.0000000000,0.0000000000,1.0000000000,0.7188577505,0.0000000000,0.1000000000,1.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6151975607,0.0000000000,0.3146305160,0.0067510297,0.0044232215,0.3246707317,0.4308443469,0.0000000000,0.0033708376,0.7310490883,0.8448359573,0.2560854975,1.0000000000,0.7532208609,0.0774167933,0.0053421430,0.4276985960,0.0454332208,0.5652726723,0.5982031776,0.0000000000,0.0000000000,1.0000000000,0.7170610460,0.0000000000,0.1000000000,2.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6188643875,0.0797830640,0.2934113234,0.0072149366,0.0052105679,0.3600902562,0.4312196751,0.0037992708,0.0051206297,0.6475698977,0.8782129638,0.3071053998,0.2744049804,0.7535701791,0.2365986876,0.0064330327,0.4338085211,0.0268426610,0.5658228505,0.5990822597,0.0000000000,0.0000000000,1.0000000000,0.7311798327,0.0000000000,0.1000000000,3.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6223640927,0.1902211697,0.2920254007,0.0096365615,0.0088133255,0.4505251019,0.4325871272,0.0572095857,0.0090805770,0.9162725163,0.5277954066,0.3709934138,0.0495609876,0.7538441348,0.2060403985,0.0099134250,0.3584521303,0.0050739715,0.5693002720,0.6026050839,0.0000000000,0.0000000000,1.0000000000,0.7504283602,0.0000000000,0.1000000000,4.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6237931252,0.2317747425,0.2926425961,0.0129203054,0.0119898288,0.5015462243,0.4326209803,0.0514183586,0.0144185843,0.8720606260,0.3430619599,0.4466553812,0.0306357410,0.7519540575,0.1934099480,0.0159093521,0.3584521303,0.0000000000,0.5719388300,0.6052669228,0.0000000000,0.0000000000,1.0000000000,0.7649196905,0.0000000000,0.1000000000,5.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6231872384,0.1434904439,0.2966463210,0.0194711383,0.0159612163,0.4003142957,0.4328579517,0.0353406894,0.0188400618,0.8030066852,0.4971739164,0.3890708598,0.1338132876,0.7487593296,0.1102893916,0.0268695027,0.2281059276,0.0203305855,0.5733806486,0.6071815605,0.0000000000,0.0000000000,1.0000000000,0.7561313379,0.0000000000,0.1000000000,6.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,0.0000000000
0.0000000000,0.0000000000,0.6203216667,0.1104525289,0.3011233958,0.0275212166,0.0197580766,0.2038207093,0.4331457027,0.0541453861,0.0267949458,0.6890769320,0.6336127213,0.2627478796,0.1791884642,0.7464272283,0.1014892593,0.0369147465,0.3584521303,0.0398107865,0.5733412081,0.6072262148,0.0000000000,0.0000000000,1.0000000000,0.7606879607,0.0000000000,0.1000000000,7.0000000000,1.0000000000,3.0000000000,0.1600000000,2.0000000000,0.0000000000,8.0000000000,1.0000000000
