"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (in %),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0,0,0.4741781818,0.03348621301,0.5055723634,0.1349057621,0.1402294073,0.5111539485,0.2065893462,0.03559083702,0.07913314954,0.5700095786,0.1116651029,0.1391132934,0.1444200858,0.6361403975,0.148854492,0.04041753979,0.1841328355,0.5054533738,0.1168108776,0.01898695865,0,1,0,0.6123348018,1,1,0.9568965517,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.3827789375,0.03490153022,0.5249682158,0.1654790743,0.169241064,0.4832122985,0.2065893462,0.07897126712,0.08634241749,0.5919096379,0.1005761459,0.139087839,0.1260552498,0.6605812727,0.1869221513,0.04910388767,0.201845022,0.4740220204,0.08002236741,0.02099741722,0,1,0,0.6343612335,1,1,0.9655172414,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.3965364587,0.03698158209,0.5105083057,0.1849508362,0.1918480687,0.5204250094,0.2065893462,0.113087426,0.09515406506,0.5905249131,0.09432089961,0.1777402931,0.116686504,0.6752589084,0.1755644672,0.05650524389,0.201845022,0.4959174614,0.06530696333,0.02183996968,0,1,0,0.6343612335,1,1,0.974137931,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.5002395889,0.03755601438,0.5186227526,0.2173416241,0.2147357934,0.4011644801,0.2065893462,0.113189908,0.1046256402,0.5837397244,0.09384273158,0.1601530294,0.1132831139,0.2357476861,0.1805994905,0.0695609364,0.1952029487,0.5309063922,0.08075813762,0.03717778811,0,1,0,0.6255506608,1,1,0.9827586207,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.6265335573,0.03968811042,0.5642996942,0.2564247136,0.2421483301,0.284665999,0.2065893462,0.08850540414,0.1109099341,0.4332285821,0.0963421782,0.1531027685,0.1108820278,0.2874484611,0.2178551907,0.076357808,0.3413284144,0.554857181,0.1076137501,0.05916323647,0,1,0,0.4669603524,1,1,0.9913793103,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.5532000271,0.04142202693,0.5360434856,0.266912921,0.2578705812,0.3651936203,0.2065893462,0.1263921514,0.1173135456,0.5106893823,0.07571595044,0.1650250878,0.1077090134,0.368680268,0.2268704655,0.08668663817,0.2981549715,0.5843430968,0.1009918182,0.04879804106,0,1,0,0.550660793,1,1,1,1,1,0.1666666667,0,0,1,0.0000000
0,0,0.5699458306,0.05440136604,0.5092676654,0.2850320405,0.2707802214,0.3255186184,0.2065893462,0.1240509191,0.1265531024,0.5452629909,0.07204284397,0.1406076096,0.07373078612,0.496370286,0.2191549502,0.1035876591,0.2306273084,0.6355969774,0.1076137501,0.06285038486,1,1,0,0.5859030837,0.8979591837,0.8265306122,0.4137931034,0.9578947368,0.9479166667,1,0,1,0.4468085106,0.0000000
0,0,0.7679402766,0.0551939959,0.4803956139,0.2526435788,0.2483109995,0.4506244124,0.2065893462,0.1550451061,0.1263822144,0.0938986357,0.05095860923,0.1562060054,0.08875828878,0.6493405318,0.2944847909,0.08930214483,0.4918819068,0.6255377036,0.125272235,0.06963375139,0,1,0,0.1013215859,0.8979591837,0.8265306122,0.4224137931,0.9578947368,0.9479166667,0.9166666667,0,1,0.4468085106,0.0000000
0,0,0.9290601274,0.06040746986,0.4783757887,0.2417275576,0.2478667422,0.5564172805,0.1473601959,0.2734212105,0.1295313271,0.438695106,0,0.1379227075,0.08960410493,0.7713060306,0.3395875678,0.07471919057,0.6767527622,0.5685946775,0.1006239331,0.04727968474,0,1,0,0.4713656388,0.8979591837,0.8265306122,0.4310344828,0.9578947368,0.9479166667,0.9166666667,0,1,0.4468085106,0.0000000
0,0,0.9282234592,0.06522166333,0.5426128421,0.2833973874,0.2872226755,0.5128454354,0.1937025235,0.70660469,0.1322440139,0.650625453,0.002384701599,0.1445596924,0.08660131561,0.8818830994,0.3208312304,0.07955066422,0.5295202998,0.558673625,0.1142356819,0.05045682339,0,1,0,0.7004405286,0.8979591837,0.8265306122,0.4396551724,0.9578947368,0.9479166667,1,0,1,0.4468085106,0.0000000
0,0,0.7750756563,0.06833663288,0.526648319,0.2714322381,0.2760445485,0.5502080249,0.5479079638,0.3268101387,0.1294494107,0.3587197452,0.01730952428,0.08239738922,0.08251518446,0.9709278287,0.3850349411,0.07636300373,0.5483394962,0.5530869029,0.07137706751,0.02493439472,0,1,0,0.3876651982,0.8979591837,0.8265306122,0.4482758621,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.7762067137,0.07006706126,0.5621840676,0.2797796423,0.291694953,0.5878275492,0.5344323863,0.08448915681,0.1292293661,0.4037503885,0.00755535353,0.08774702184,0.08238286853,1,0.4181955204,0.06596319404,0.7907749246,0.5398029241,0.04065866149,0.003528203688,0,1,0,0.436123348,0.8979591837,0.8265306122,0.4568965517,0.9578947368,0.9479166667,0.9166666667,0.3333333333,0.6666666667,0.4468085106,0.0000000
0,0,0.8788278252,0.07643752695,0.6477144263,0.3105331932,0.3232021824,0.6504982079,0.5084922174,0.2097000883,0.1287195366,0.4612790858,0.009832659448,0.124810077,0.0830639879,0.9294308999,0.4456583859,0.06084408779,0.8549815576,0.5419309292,0.03881923598,0.0005968105741,0,1,0,0.4977973568,0.8979591837,0.8265306122,0.4655172414,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.7806897827,0.07614079694,0.7283843753,0.3656394909,0.3770643959,0.6321916096,0.5349989103,0.2369305104,0.1309676441,0.6932280901,0.02749408257,0.1374214087,0.08708746016,0.8367129005,0.3965574786,0.0643011164,0.7309962788,0.5359590862,0.03918712108,0.0001579792696,0,1,0,0.7444933921,0.8979591837,0.8265306122,0.474137931,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.6901249012,0.07128548649,0.7655638968,0.4080518188,0.4284098017,0.6740077342,0.4926496201,0.3955422977,0.1346326624,0.6393106611,0.03560065907,0.1174080199,0.09240085859,0.7358474198,0.3114843384,0.0677619311,0.6025830128,0.529317665,0.0601565719,0.01317371576,0,1,0,0.6872246696,0.8979591837,0.8265306122,0.4827586207,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.7653111118,0.0716842013,0.8043182698,0.4583042626,0.476695631,0.6903230884,0.4664697437,0.4063041937,0.1416261744,0.6246999202,0.04424194898,0.1772897149,0.1005427594,0.612816699,0.2748870739,0.07583202794,0.5129151233,0.5036040817,0.09032315027,0.02833094902,0,1,0,0.6696035242,0.8979591837,0.8265306122,0.4913793103,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.6167563533,0.07517402199,0.811217346,0.5062032793,0.5247738104,0.6976457278,0.3329425085,0.5098100624,0.1473331406,0.6013615087,0.04449795858,0.182823526,0.1006748523,0.497810272,0.2479180127,0.07622837083,0.4287823102,0.5031140714,0.08406910354,0.02541710915,0,1,0,0.6475770925,0.8979591837,0.8265306122,0.5,0.9578947368,0.9479166667,0.8333333333,0,0.6666666667,0.4468085106,0.0000000
0,0,0.6057936867,0.08679069392,0.8452513428,0.5471341475,0.564359048,0.7411319279,0.5212389526,0.5301924768,0.1536575506,0.4231207901,0.06119540293,0.102836018,0.08315477993,0.4175462809,0.267142669,0.07874954239,0.3789667809,0.5177683901,0.04433751251,0.004616505323,0,1,0,0.4537444934,0.8979591837,0.8265306122,0.5086206897,0.9578947368,0.9479166667,0.75,0,0.6666666667,0.4468085106,0.0000000
