"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
#VALUE!,#VALUE!,0.23600612266,1.00000000000,0.06543832276,0.00000000000,0.00000000000,0.37063612843,#VALUE!,0.03474716123,0.00000000000,0.69296346173,0.80841628499,0.66699258415,0.62702714845,0.40551428283,0.06210699057,0.00000000000,0.29924357978,0.13719979335,0.69880162847,0.01480306158,0.00000000000,0.00000000000,1.00000000000,0.69656486969,1.0000000,1.0000000,90.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23670871819,0.84318942126,0.05070099876,0.00077046713,0.00061258915,0.38808001945,#VALUE!,0.03505251360,0.00184834581,0.60851481621,0.81669836951,0.66800871512,0.62837777260,0.40837516439,0.00857405876,0.00399429515,0.28721385240,0.13635375924,0.69688020872,0.01471648112,0.00000000000,0.00000000000,1.00000000000,0.69130147229,1.0000000,1.0000000,91.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23533310526,0.65295835219,0.00227345681,0.00152874199,0.00170885562,0.40587273978,#VALUE!,0.04526406185,0.00475028984,0.75497128023,0.81807818879,0.66979028317,0.62924527826,0.40794316095,0.01407874916,0.00708109676,0.27433505971,0.13606714383,0.69528613779,0.02036562933,0.00000000000,0.00000000000,1.00000000000,0.70190487662,1.0000000,1.0000000,92.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23245946524,0.45432966644,0.01536224147,0.00425120941,0.00444016846,0.41950645036,#VALUE!,0.06962933546,0.00942873966,0.82857117326,0.79324804882,0.67077482574,0.62739851451,0.40521700299,0.00000000000,0.01332601773,0.27421421392,0.13683548598,0.69442421067,0.03575986804,0.00000000000,0.00000000000,1.00000000000,0.67574365882,1.0000000,1.0000000,93.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.22994041727,0.38425358484,0.02933608324,0.00607497944,0.00614576982,0.43620698571,#VALUE!,0.04020574869,0.01332518336,0.39327048624,0.76972661569,0.67199348583,0.62426603353,0.40132016942,0.08462403427,0.01793956220,0.27074058572,0.13838501540,0.69537465416,0.05204592374,0.00000000000,0.00000000000,1.00000000000,0.69179584742,1.0000000,1.0000000,94.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.22964588853,0.35836215943,0.00359959092,0.00625892926,0.00647529350,0.44760695513,#VALUE!,0.07599619995,0.01691291234,0.30839920151,0.75952718058,0.67232715834,0.62011375660,0.39762697083,0.10723133412,0.01822204231,1.00000000000,0.13995040400,0.69621186841,0.06343155950,0.00000000000,0.00000000000,0.00000000000,0.71550385916,1.0000000,1.0000000,95.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23008280681,0.27143397619,0.02837393720,0.00944187658,0.01067363328,0.46730255638,#VALUE!,0.04609135630,0.02252351523,1.00000000000,0.76143437121,0.67229583875,0.61491407302,0.39552050672,0.03396034184,0.02472592145,0.49372722843,0.14140843301,0.69785987818,0.07161473422,0.00000000000,0.00000000000,0.00000000000,0.71844731955,1.0000000,1.0000000,96.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23137395623,0.21488610789,0.00000000000,0.01209295612,0.01279784818,0.47566725052,#VALUE!,0.04201172803,0.03210883828,0.80413223721,0.77483580207,0.66829107036,0.60857640254,0.39587021856,0.05186611447,0.03949736560,0.40874141619,0.14270350699,0.69731670379,0.07436785136,0.00000000000,0.00000000000,0.00000000000,0.69719837614,1.0000000,1.0000000,97.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.23635578746,0.17864969015,0.03527990218,0.01676692371,0.01623850016,0.47713224112,#VALUE!,0.05660859982,0.03683464266,0.65122980061,0.78844260468,0.66123954140,0.60129764071,0.39928613996,0.06780730715,0.05263434066,0.07972480576,0.15016078233,0.72060003426,0.07453186570,0.00000000000,0.00000000000,0.00000000000,0.68338218872,1.0000000,1.0000000,98.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
#VALUE!,#VALUE!,0.24678411254,0.13875773300,0.06295461566,0.02280825704,0.02228224622,0.47412023222,#VALUE!,0.06117187571,0.04151522881,0.79667545053,0.80471625048,0.65381745546,0.63196705296,0.40606392005,0.04219920520,0.07692898154,0.14042895943,0.14320671649,0.73311798035,0.07295280830,0.00000000000,0.00000000000,0.00000000000,0.67797319933,1.0000000,1.0000000,99.0000000,7.0000000,8.0000000,0.0800000,0.0000000,0.0000000,94.0000000,0.0000000
