"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.0000000000,0.0000000000,0.4688414679,0.0000000000,0.2016873069,0.0000000000,0.0000000000,0.1768443091,0.0962666304,0.0459287858,0.0000000000,0.9690429628,0.0952175164,0.5429350689,0.5128899402,0.4005882795,0.7014766471,0.0000000000,0.8539325492,0.0050548076,0.4588743299,0.5976703919,0.0000000000,0.0000000000,1.0000000000,0.6011976048,0.0000000000,0.3000000000,5.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.4960153110,0.0010606331,0.1452095549,0.0006266365,0.0003882410,0.1768443091,0.0962666304,0.0567522512,0.0006938653,0.8871387837,0.1488167095,0.3507057020,0.1352821729,0.4005882795,0.8245870063,0.0022121677,0.6179775461,0.0000000000,0.4588743299,0.5976703919,0.0000000000,0.0000000000,1.0000000000,0.6011976048,0.0000000000,0.3000000000,6.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5040052282,0.0017740263,0.0000000000,0.0008957075,0.0006623149,0.0294346825,0.0957508472,0.0872491730,0.0017798918,0.9354768024,0.1620239669,0.8564570596,0.1919145261,0.4005882795,0.7299409038,0.0043419258,0.5992508835,0.0626497952,0.4588743299,0.5976703919,0.0000000000,0.0000000000,1.0000000000,0.6011976048,0.0000000000,0.3000000000,7.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5134819453,0.0030685349,0.0800657876,0.0031710758,0.0026711032,0.1182732068,0.0960060081,0.2265086065,0.0034743251,0.7901314336,0.8871683170,0.5441186699,0.1395404660,0.4005882795,0.5068376181,0.0072798620,0.5636704387,0.1656239854,0.4588743299,0.5976703919,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,8.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5500668049,0.0043361671,0.4076929589,0.0095692064,0.0073620563,0.0000000000,0.0961538595,0.1101608209,0.0065386905,0.5497824320,1.0000000000,0.4805413078,0.2068916422,0.4005882795,0.3906041750,0.0146784018,0.4625468086,0.0983683252,0.4588743299,0.5976703919,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,9.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.5904885686,0.0048052195,0.2617559956,0.0090108488,0.0072530338,0.1968491221,0.0962976634,0.0588954078,0.0094438352,0.4357234786,0.1808495563,0.6179403198,0.3499626151,0.4005882795,0.4413314132,0.0147576397,0.5711610681,0.1297592508,0.4588743299,0.5976703919,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,10.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6140045588,0.0056655871,0.3689699724,0.0117253731,0.0096223263,0.2268109600,0.0958627761,0.0000000000,0.0114152693,0.6204984303,0.0000000000,0.4571146395,0.4001673311,0.4005882795,0.4229114839,0.0174604323,0.5580524221,0.1453084939,0.4588743299,0.5976703919,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,11.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.6120612742,0.0068554682,0.4702009587,0.0133290153,0.0114197846,0.3233457849,0.0954823931,0.0290908645,0.0121209371,0.5891675105,0.2067648986,0.2666835960,0.2410252453,0.4005882795,0.4620064593,0.0172595557,0.4550561793,0.1550067076,0.4588743299,0.3723437745,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,12.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.3463710566,0.0103366415,0.5067791023,0.0163743714,0.0136949604,0.2899423876,0.0973333581,0.0131914054,0.0140402035,0.6387172468,0.2773378646,0.3968808379,0.0000000000,0.4005882795,0.5027170040,0.0217338003,0.1423220915,0.1785807310,0.2287075640,0.4369589170,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,13.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
0.0000000000,0.0000000000,0.3559779071,0.0115793009,0.7007955284,0.0245836043,0.0201665471,0.2493749529,0.0969264392,0.2052836901,0.0182525544,0.7339474114,0.2444560756,0.6440944442,0.1723108653,0.4005882795,0.2981448982,0.0294516415,0.1161048442,0.2298325832,0.3875322612,0.5741382024,0.0000000000,1.0000000000,0.0000000000,0.6011976048,0.0000000000,0.3000000000,14.0000000000,3.0000000000,4.0000000000,0.0800000000,0.0000000000,0.0000000000,53.0000000000,no
