"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.724111062,0.33226201,0.632056762,0,0.01594744,2.31027E-05,0,0.395943587,0.592415546,0.134690912,0.074058287,0,0.821125574,0.017681272,0.0081592,0.19270422,0.398690847,0.400494953,0.524908516,0,0.000176526,0.366258379,0.14685905,0.369907752,0.227008201,0,0,1,0.656381319,0,0.2,40,3,3,0.4,1,0.25,47,0
0.719574198,0.332826525,0.628160413,0.000919024,0,0,0.000462677,0.391082205,0.59167746,0.10811119,0.075679534,0.002875379,0.667756676,0.021287721,0.03417331,0.168125411,0.337284315,0.39341446,0.50603204,0.067262635,0,0.380091686,0.146596577,0.369765756,0.243821957,0,0,1,0.62631635,0,0.2,41,3,3,0.4,1,0.25,47,0
0.723083868,0.333127599,0.626119198,0.002036806,0.00803573,0.00106375,0.001709097,0.441825355,0.592286009,0,0.079873638,0.007563498,0.917754302,0.017218711,0.035451134,0.193986751,0.290059397,0.387723138,0.504958723,0.257312755,0.005664089,0.418309853,0.146220989,0.368529447,0.275884455,0,0,1,0.628551034,0,0.2,42,3,3,0.4,1,0.25,47,0
0.716959109,0.334377058,0.627000404,0.002957493,0.022985122,0.003367015,0.003645493,0.476529229,0.59292718,0.120226454,0.08414222,0.015439536,0.897173469,0.07250821,0.083914155,0.246074094,0.277303413,0.384792932,0.507088872,0.361514688,0.013454844,0.446622743,0.145814986,0.366253267,0.297724273,0,0,1,0.625398694,0,0.2,43,3,3,0.4,1,0.25,47,0
0.711052415,0.337098019,0.628524573,0.003344201,0.039715712,0.007784179,0.006345556,0.493557905,0.59370201,0.086807166,0.089796775,0.028503759,0.780507866,0.163146976,0.152880993,0.226284409,0.300703569,0.423935659,0.474393575,0.354334804,0.026989169,0.456447192,0.145489894,0.363101037,0.323384582,0,0,1,0.599455379,0,0.2,44,3,3,0.4,1,0.25,47,0
0.703498941,0.337767909,0.629372576,0.004072576,0.002346075,0.00936826,0.006370325,0.497778599,0.594609984,0.035136137,0.104145826,0.041005408,0.778697553,0.094680523,0.099449358,0.254885327,0.405679585,0.451230776,0.437901761,0.576233607,0.04385199,0.464108852,0.146335543,0.359348591,0.36517608,0,0,1,0.596368198,0,0.2,45,3,3,0.4,1,0.25,47,0
0.697456115,0.338343714,0.631267248,0.003096286,0.030261272,0.009959801,0.009237605,0.532654207,0.595583632,0.118811386,0.102252165,0.041807056,0.704418142,0.101498044,0.126206383,0.435135269,0.737690639,0.442920224,0.422037464,0.706393046,0.043406033,0.465755696,0.147583769,0.354930961,0.099086927,0,0,1,0.591780119,0,0.2,46,3,3,0.4,1,0.25,47,1
0.673153302,0.454867057,0.633320064,0.005398389,0.063353118,0.009178069,0.010938168,0.531361867,0.593146084,0.0014342,0.090981296,0.036172083,0.646944083,0.204044215,0.204608083,0.112562082,0.343899966,0.419243994,0.414111626,0.659824948,0.033552621,0.461888958,0.148488832,0.349949373,0.100429162,0,0,1,0.599713591,0.1,0.35,0,3,3,0.4,1,0.25,47,1
0.658750325,0.319368496,0.635152212,0.006360466,0.078040792,0.014657839,0.015342381,0.519657753,0.592855289,0.068859794,0.113091936,0.052335027,0.958510725,0.114143162,0.102420067,0.310811961,0.403770476,0.395993536,0.409086758,0.689818849,0.054065757,0.450279932,0.148768182,0.344581794,0.110019074,0,0,1,0.611817326,0.1,0.35,1,3,3,0.4,1,0.25,11,0
1,0.503633592,0.637073677,0.007510257,0.110301862,0.024751208,0.023656618,0.258484593,0.59643104,0.165635833,0.129749967,0.077386303,1,0.119828022,0.128398439,0.31602787,0.402942124,0.368611246,0.414173743,0.685483079,0.090898689,0.436950153,0.147969801,0.340749626,0.158736887,0,0,1,0.618644068,0.1,0.35,2,3,3,0.4,1,0.25,11,0
0.637582349,0.857452534,0.638124308,0.011946576,0.092038002,0.040455264,0.034714294,0.157335929,0.592156538,0.173688609,0.139883595,0.132532391,0.973976803,0.183034674,0.27782392,0.331472397,0.409237519,0.337083569,0.762362798,0.42411431,0.152606856,0.048387098,0.146782298,0.381952774,0.231288192,0,0,1,1,0.1,0.35,3,3,3,0.4,1,0.25,11,0
0.674205552,1,0.638509715,0.017513111,0.087230079,0.053696247,0.044760212,0.055111817,0.581195776,0.214669401,0.195239256,0.178491773,0.934367265,0.195288963,0.175276365,0.409274406,0.498497027,0.322609526,1,0.554244325,0.21901115,0,0.145398682,0.394856484,0.291538625,0,0,1,0.943502825,0.1,0.35,4,3,3,0.4,1,0.25,11,1
0.758180568,0.944195849,0.585300572,0.001327577,0.117784625,0.026915425,0.045919375,0.337607004,0.583558516,0.176727949,0.101230936,0.116491268,0.428005817,0.43524279,0.426833163,0.436017969,1,0.330809924,0.446754831,0.488545995,0.121964188,0.532258073,0.14370937,0.391052216,0.428773268,0,0,1,0.435028249,0.1,0.35,5,3,3,0.4,1,0.25,11,1
0.65571152,0.210853734,0.603665825,0.016706772,0.162661667,0.019685577,0.049101917,1,0.598980054,0.280789271,0.063685079,0.094261806,0.262009394,0.768002471,0.60226321,0.495179655,0.231473974,0.355490865,0.279514328,0.212944921,0.070866903,0.83870969,0.142089517,0.392194306,0.628571933,0,0,1,0.265536723,0.1,0.35,6,3,3,0.4,1,0.25,11,1
0.651985479,0.056323505,0.636693673,0.033484977,0.14109217,0.024794516,0.053406719,0.858271845,0.599980053,0.123051973,0.104510272,0.116219622,0.64807332,0.485862821,0.409696717,0.531392903,0.146878823,0.815362927,0.492078919,0.290520295,0.090890624,0.758064528,0.141348959,0.390345167,0.537962276,0,0,1,0.655367232,0.1,0.35,7,3,3,0.4,1,0.25,11,1
0.627964204,0.012246204,0.645290434,0.021669011,0.120773492,0.02903655,0.049386593,0.680873335,0.602225146,0.172984424,0.108900718,0.124781918,0.579610692,0.426219471,0.404804788,0.355761888,0.215347891,0.724181947,0.532650658,0.275235496,0.104682491,0.564516138,0.141913881,0.381005484,0.605647981,0,0,1,0.587570622,0.1,0.35,8,3,3,0.4,1,0.25,11,1
0.637027853,0.020597257,0.638700611,0.025482177,0.200691182,0.025929974,0.037866902,0.544206241,0.60459769,0.386540788,0.079111718,0.077377468,0.284816804,0.646849841,0.479956859,0.543811534,0.102632,0.359814703,0.082050008,0.281855138,0.067434037,0.548387105,0.155637683,0.367635818,0.824882555,0,0,1,0.288135593,0.1,0.35,9,3,3,0.4,1,0.25,11,1
0.430125169,0,0.652108638,0.059418305,0.225781854,0.028502972,0.047295621,0.916285894,0.606293766,0.386971387,0,0.087527746,0.553568707,1,1,1,0.018068546,0.182481702,0,0.206716196,0.069973992,0.483870975,0.16131426,0.349984814,1,0,0,1,0.559322034,0.1,0.35,10,3,3,0.4,1,0.25,11,1
