"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,Real effective exchange rate index (2010 = 100),General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.47821976,0.417122388,0.395807481,0.000143403,0,0,0,0.156365528,0.279664983,0.212531855,1.42E-05,0,0.910135189,0.032219575,0,0.467421959,0.046669324,0.392013255,0.516914756,0.226318561,0,0,0.295250571,0.748883694,0.73327636,0,0,1,0.663086212,0.4,0.6,1,3,8,0.319918679,3,0.5,3,0
0.488071192,0.418221906,0.425713738,0,0.003767808,4.74E-05,0.000350405,0.147127363,0.279730865,0.202130818,0,0.000537178,0.598858599,0.054932913,0.166162394,0.611125628,0.114223489,0.391941048,0.514334341,0.257129931,0.000314419,0.009467457,0.295253353,0.768337385,0.749550314,0,0,1,0.659663158,0,0.15,0,1,4,0.319711022,3,0.5,3,0
0.507163635,0.417371226,0.452183883,0.000707367,0.02801916,0.000663447,0.001291816,0.158745024,0.27969543,0.24426586,0.000426687,0.002032323,0.569374739,0.227579724,0.447381875,0.883868802,0.107513287,0.391352356,0.514129033,0.18961064,0.001443471,0.06627219,0.295392344,0.775861265,0.767762097,0,0,1,0.657322807,0,0.15,1,1,4,0.319462781,3,0.5,2,0
0.52977279,0.418589376,0.497835226,0.001689284,0.040052461,0.002714545,0.002906413,0.150165104,0.27950633,0.227943304,0.002647379,0.006987127,0.85414113,0.650828292,0.925422126,0.862245481,0.085114035,0.390194658,0.515489751,0.058133765,0.006230249,0.052071009,0.29572115,0.792085047,0.784318263,0,0,1,0.655974934,0,0,0,0,0,0.319813476,3,0.5,2,0
0.568958391,0.417133962,0.531526094,0.003912832,0.105083171,0.006484211,0.005782932,0.151564742,0.279147037,0.316531621,0.006557596,0.012321284,0.57834826,1,1,0.764011635,0.011213476,0.388533951,0.519816121,0.01364348,0.012462497,0.0591716,0.296024942,0.802784291,0.799369322,0,0,1,0.649954694,0.4,0.65,0,3,8,0.320109453,3,0.5,1,0
0.287799698,0.417637425,0.551218943,0.003592772,0.065409193,0.006948397,0.00509456,0.211660574,0.282256751,0.208660711,0.013046577,0.014518229,0.602444821,0.247105807,0.334909536,0.582977777,0.095129326,0.38650416,0.524673927,0.122400506,0.014219234,0.055621302,0.296132178,0.796638034,0.813052104,0,0,1,0.648024658,0.4,0.65,1,3,8,0.320357396,3,0.5,2,0
0.234204713,0.418137995,0.427489581,0.00407158,0.080520357,0.00843331,0.007244364,0.282163166,0.282359103,0.193867263,0.016543672,0.018433471,0.810664625,0.200274989,0.374746334,0.770979025,0.15234999,0.387841192,0.526219209,0.19532068,0.018233072,0.082248527,0.295948675,0.564090481,0.803278689,0,0,1,0.662204421,0,0.15,0,1,4,0.320563254,3,0.5,2,0
0.349690201,0.715430288,0.320329683,0.004132866,0.103114843,0.012383474,0.008803527,0.141644113,0.282312219,0.203389372,0.021001832,0.023636697,0.835358654,0.337181604,0.434660273,0.730418714,0.217721408,0.391065858,0.525769645,0.158269393,0.028455697,0.135502957,0.295479355,0.55378181,0.573979326,0,0,1,0.690354053,0,0,0,0,0,0.320732321,3,0.5,1,0
0.613079309,0.826637848,0.098380496,0.004922923,0.090504972,0.01499613,0.011326376,0.177101306,0.279024493,0.162268106,0.02681664,0.031508761,0.856976093,0.349984935,0.580041238,0.715380881,0.23429672,0.394797045,0.522728966,0.21889256,0.036152469,0.108875742,0.294891977,0.559672479,0.573979326,0,0,1,0.711771917,0.3,0.6,0,3,7,0.320591521,3,0.5,1,0
0.563053551,0.640827995,0.279329491,0.004254275,0.164716349,0.022571095,0.015614012,0.043109889,0.274475284,0.158235243,0.033078883,0.037775359,0.621628379,0.428246111,0.538524863,0.527587028,0.20200895,0.397190581,0.516543889,0.305030293,0.043879887,0.13905326,0.29437729,0.699575872,0.592774355,0,0,1,0.729012614,0.3,0.6,1,3,7,0.320191324,3,0.5,10,0
