"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.7241110622,0.3322620100,0.0667701086,0.0000000000,0.0159474402,0.0000231027,0.0000000000,0.3959435872,0.5924155457,0.1346909116,0.0740582865,0.8211255735,0.0176812717,0.1927042203,0.3986908465,0.4004949533,0.0000000000,0.0001765263,0.3662583785,0.1468590501,0.3699077522,0.2270082012,0.0000000000,0.0000000000,1.0000000000,0.6563813193,0.0000000000,0.2000000000,40.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.7195741976,0.3328265247,0.0853424742,0.0009190243,0.0000000000,0.0000000000,0.0004626768,0.3910822052,0.5916774599,0.1081111896,0.0756795340,0.6677566763,0.0212877211,0.1681254110,0.3372843147,0.3934144599,0.0672626351,0.0000000000,0.3800916863,0.1465965768,0.3697657563,0.2438219568,0.0000000000,0.0000000000,1.0000000000,0.6263163504,0.0000000000,0.2000000000,41.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.7230838676,0.3331275991,0.0993299843,0.0020368061,0.0080357296,0.0010637499,0.0017090965,0.4418253548,0.5922860094,0.0000000000,0.0798736380,0.9177543024,0.0172187111,0.1939867509,0.2900593968,0.3877231384,0.2573127549,0.0056640885,0.4183098533,0.1462209885,0.3685294474,0.2758844548,0.0000000000,0.0000000000,1.0000000000,0.6285510335,0.0000000000,0.2000000000,42.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.7169591087,0.3343770581,0.0958251242,0.0029574929,0.0229851216,0.0033670145,0.0036454931,0.4765292290,0.5929271797,0.1202264538,0.0841422203,0.8971734694,0.0725082097,0.2460740942,0.2773034126,0.3847929317,0.3615146883,0.0134548444,0.4466227429,0.1458149860,0.3662532666,0.2977242733,0.0000000000,0.0000000000,1.0000000000,0.6253986941,0.0000000000,0.2000000000,43.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.7110524151,0.3370980186,0.0737256453,0.0033442007,0.0397157122,0.0077841786,0.0063455564,0.4935579045,0.5937020102,0.0868071656,0.0897967751,0.7805078655,0.1631469764,0.2262844089,0.3007035691,0.4239356586,0.3543348044,0.0269891687,0.4564471924,0.1454898939,0.3631010373,0.3233845823,0.0000000000,0.0000000000,1.0000000000,0.5994553787,0.0000000000,0.2000000000,44.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.7034989413,0.3377679092,0.0651837343,0.0040725762,0.0023460747,0.0093682595,0.0063703248,0.4977785992,0.5946099835,0.0351361369,0.1041458262,0.7786975534,0.0946805231,0.2548853272,0.4056795854,0.4512307757,0.5762336069,0.0438519895,0.4641088518,0.1463355430,0.3593485906,0.3651760800,0.0000000000,0.0000000000,1.0000000000,0.5963681983,0.0000000000,0.2000000000,45.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,no
0.6974561151,0.3383437141,0.0513562960,0.0030962857,0.0302612716,0.0099598011,0.0092376053,0.5326542071,0.5955836320,0.1188113856,0.1022521650,0.7044181422,0.1014980435,0.4351352688,0.7376906387,0.4429202236,0.7063930456,0.0434060331,0.4657556955,0.1475837694,0.3549309612,0.0990869273,0.0000000000,0.0000000000,1.0000000000,0.5917801187,0.0000000000,0.2000000000,46.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,yes
0.6731533018,0.4548670568,0.0909745707,0.0053983888,0.0633531184,0.0091780694,0.0109381676,0.5313618670,0.5931460844,0.0014341995,0.0909812961,0.6469440826,0.2040442148,0.1125620820,0.3438999660,0.4192439944,0.6598249483,0.0335526211,0.4618889579,0.1484888315,0.3499493732,0.1004291618,0.0000000000,0.0000000000,1.0000000000,0.5997135907,0.1000000000,0.3500000000,0.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,47.0000000000,yes
0.6587503254,0.3193684963,0.0782438931,0.0063604663,0.0780407916,0.0146578394,0.0153423809,0.5196577531,0.5928552893,0.0688597941,0.1130919360,0.9585107251,0.1141431620,0.3108119610,0.4037704756,0.3959935357,0.6898188490,0.0540657566,0.4502799323,0.1487681817,0.3445817939,0.1100190739,0.0000000000,0.0000000000,1.0000000000,0.6118173258,0.1000000000,0.3500000000,1.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,no
1.0000000000,0.5036335924,0.0632922136,0.0075102572,0.1103018624,0.0247512080,0.0236566179,0.2584845931,0.5964310398,0.1656358325,0.1297499670,1.0000000000,0.1198280218,0.3160278703,0.4029421240,0.3686112458,0.6854830789,0.0908986891,0.4369501533,0.1479698012,0.3407496258,0.1587368867,0.0000000000,0.0000000000,1.0000000000,0.6186440678,0.1000000000,0.3500000000,2.0000000000,3.0000000000,3.0000000000,0.4000000000,1.0000000000,0.2500000000,11.0000000000,no
