"Total debt service (% of exports of goods, services and primary income)",Short-term debt (% of total external debt),Real interest rate (%),Total reserves minus gold (current US$),Trade (% of GDP),Imports of goods and services (current US$),Exports of goods and services (current US$),Current account balance (% of GDP),"Portfolio investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)",Real GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)",Broad money growth (annual %),Broad money to total reserves ratio,REER 5 Year rolling,General government final consumption expenditure (% of GDP),Gross fixed capital formation (current US$),"Unemployment, total (% of total labor force) (national estimate)",Domestic credit to private sector (% of GDP),Lending interest rate (%),Deposit interest rate (%),Contagion,Soft peg,Peg,Real GDP growth (Annual percent change),Left Government (democ),Polity (polity),Durable (durable),Turnover (xconst),Legislative/Executive election (exrec),State fragility index (sfi),Years (poleff),Economic Effectiveness (ecoeff),Presist (presistance),Target
0.4782197597,0.4171223879,0.3958074805,0.1662231738,0.0000000000,0.0000000000,0.0000000000,0.1563655277,0.2796649831,0.2125318548,0.0000141819,0.9101351886,0.0322195751,0.4674219593,0.0466693238,0.3920132548,0.2263185611,0.0000000000,0.0000000000,0.2952505706,0.7488836937,0.7332763596,0.0000000000,0.0000000000,1.0000000000,0.6630862115,0.4000000000,0.6000000000,1.0000000000,3.0000000000,8.0000000000,0.3199186790,3.0000000000,0.5000000000,3.0000000000,no
0.4880711915,0.4182219059,0.4257137375,0.1457571222,0.0037678081,0.0000473541,0.0003504050,0.1471273626,0.2797308651,0.2021308182,0.0000000000,0.5988585987,0.0549329128,0.6111256275,0.1142234887,0.3919410481,0.2571299305,0.0003144193,0.0094674572,0.2952533533,0.7683373853,0.7495503143,0.0000000000,0.0000000000,1.0000000000,0.6596631580,0.0000000000,0.1500000000,0.0000000000,1.0000000000,4.0000000000,0.3197110217,3.0000000000,0.5000000000,3.0000000000,no
0.5071636352,0.4173712262,0.4521838825,0.1697001664,0.0280191598,0.0006634472,0.0012918157,0.1587450235,0.2796954297,0.2442658596,0.0004266869,0.5693747387,0.2275797239,0.8838688023,0.1075132872,0.3913523558,0.1896106397,0.0014434705,0.0662721897,0.2953923439,0.7758612648,0.7677620967,0.0000000000,0.0000000000,1.0000000000,0.6573228071,0.0000000000,0.1500000000,1.0000000000,1.0000000000,4.0000000000,0.3194627811,3.0000000000,0.5000000000,2.0000000000,no
0.5297727896,0.4185893763,0.4978352256,0.1555967220,0.0400524612,0.0027145449,0.0029064127,0.1501651044,0.2795063296,0.2279433038,0.0026473791,0.8541411303,0.6508282921,0.8622454807,0.0851140346,0.3901946580,0.0581337650,0.0062302485,0.0520710092,0.2957211499,0.7920850473,0.7843182625,0.0000000000,0.0000000000,1.0000000000,0.6559749336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3198134763,3.0000000000,0.5000000000,2.0000000000,no
0.5689583905,0.4171339618,0.5315260942,0.1926537117,0.1050831710,0.0064842114,0.0057829320,0.1515647417,0.2791470374,0.3165316209,0.0065575957,0.5783482598,1.0000000000,0.7640116345,0.0112134758,0.3885339506,0.0136434804,0.0124624972,0.0591715995,0.2960249417,0.8027842905,0.7993693223,0.0000000000,0.0000000000,1.0000000000,0.6499546939,0.4000000000,0.6500000000,0.0000000000,3.0000000000,8.0000000000,0.3201094530,3.0000000000,0.5000000000,1.0000000000,no
0.2877996977,0.4176374253,0.5512189425,0.1587797309,0.0654091928,0.0069483974,0.0050945601,0.2116605743,0.2822567513,0.2086607108,0.0130465771,0.6024448205,0.2471058066,0.5829777771,0.0951293257,0.3865041595,0.1224005061,0.0142192344,0.0556213017,0.2961321782,0.7966380344,0.8130521040,0.0000000000,0.0000000000,1.0000000000,0.6480246576,0.4000000000,0.6500000000,1.0000000000,3.0000000000,8.0000000000,0.3203573955,3.0000000000,0.5000000000,2.0000000000,no
0.2342047134,0.4181379953,0.4274895805,0.1435436160,0.0805203566,0.0084333098,0.0072443637,0.2821631660,0.2823591029,0.1938672632,0.0165436720,0.8106646252,0.2002749886,0.7709790248,0.1523499895,0.3878411922,0.1953206800,0.0182330721,0.0822485270,0.2959486753,0.5640904807,0.8032786885,0.0000000000,0.0000000000,1.0000000000,0.6622044210,0.0000000000,0.1500000000,0.0000000000,1.0000000000,4.0000000000,0.3205632542,3.0000000000,0.5000000000,2.0000000000,no
0.3496902007,0.7154302877,0.3203296826,0.1125571681,0.1031148425,0.0123834738,0.0088035270,0.1416441128,0.2823122187,0.2033893722,0.0210018315,0.8353586538,0.3371816042,0.7304187138,0.2177214080,0.3910658584,0.1582693928,0.0284556973,0.1355029565,0.2954793545,0.5537818096,0.5739793255,0.0000000000,0.0000000000,1.0000000000,0.6903540526,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3207323212,3.0000000000,0.5000000000,1.0000000000,no
0.6130793089,0.8266378477,0.0983804956,0.0951258467,0.0905049721,0.0149961297,0.0113263763,0.1771013063,0.2790244928,0.1622681063,0.0268166396,0.8569760933,0.3499849345,0.7153808810,0.2342967200,0.3947970446,0.2188925596,0.0361524693,0.1088757418,0.2948919768,0.5596724788,0.5739793255,0.0000000000,0.0000000000,1.0000000000,0.7117719166,0.3000000000,0.6000000000,0.0000000000,3.0000000000,7.0000000000,0.3205915211,3.0000000000,0.5000000000,1.0000000000,no
0.5630535505,0.6408279949,0.2793294906,0.0594151835,0.1647163487,0.0225710946,0.0156140115,0.0431098888,0.2744752840,0.1582352434,0.0330788834,0.6216283794,0.4282461109,0.5275870279,0.2020089503,0.3971905814,0.3050302930,0.0438798871,0.1390532596,0.2943772896,0.6995758718,0.5927743552,0.0000000000,0.0000000000,1.0000000000,0.7290126142,0.3000000000,0.6000000000,1.0000000000,3.0000000000,7.0000000000,0.3201913243,3.0000000000,0.5000000000,10.0000000000,no
